Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,AverageReturn_task_0,AverageReturn_task_last_0,AverageSuccess_task_last_0,z_mean_task_0,z_var_task_last_0,AverageReturn_task_1,AverageReturn_task_last_1,AverageSuccess_task_last_1,z_mean_task_1,z_var_task_last_1,AverageReturn_task_2,AverageReturn_task_last_2,AverageSuccess_task_last_2,z_mean_task_2,z_var_task_last_2,AverageReturn_task_3,AverageReturn_task_last_3,AverageSuccess_task_last_3,z_mean_task_3,z_var_task_last_3,AverageReturn_task_4,AverageReturn_task_last_4,AverageSuccess_task_last_4,z_mean_task_4,z_var_task_last_4,AverageReturn_task_5,AverageReturn_task_last_5,AverageSuccess_task_last_5,z_mean_task_5,z_var_task_last_5,AverageReturn_task_6,AverageReturn_task_last_6,AverageSuccess_task_last_6,z_mean_task_6,z_var_task_last_6,AverageReturn_task_7,AverageReturn_task_last_7,AverageSuccess_task_last_7,z_mean_task_7,z_var_task_last_7,AverageReturn_task_8,AverageReturn_task_last_8,AverageSuccess_task_last_8,z_mean_task_8,z_var_task_last_8,AverageReturn_task_9,AverageReturn_task_last_9,AverageSuccess_task_last_9,z_mean_task_9,z_var_task_last_9,Z mean eval,Z variance eval,Number of train steps total,Number of env steps total,Number of rollouts total,Epoch
-0.0005258151,0.0013551272,224.20932,22.420933,42.7342,7.464801,-2.6977358,5.7848792e-05,0.00055180176,0.0016795788,-0.0014769344,0.0014111708,0.00028353487,0.0019801718,0.00076484866,-2.682126,0.44115493,-1.2447964,-3.8753786,0.0004537846,0.0005974982,0.0011296843,-0.000646429,-0.00060151564,0.0013985223,0.0015512329,-0.0025192075,301.49394860874,305.79202923475805,0.0,[-0.11069211  0.10485847 -0.12651254  0.01256662  0.02092427],[0.21513051 0.21748683 0.21725819 0.21744719 0.21694662],272.70780385478724,273.476257631095,0.0,[-0.12070454  0.10990967 -0.13881065  0.01041442  0.03517157],[0.21549466 0.21785417 0.21762583 0.21781437 0.21731248],263.03080658797455,261.5532375176085,0.0,[-0.12466602  0.11315954 -0.14311597  0.01025421  0.03707742],[0.2211908  0.22361279 0.22337839 0.2235719  0.22305673],124.33416696590827,124.31186177906545,0.0,[-0.11524118  0.09417336 -0.13487148  0.00113192  0.06367664],[0.16012451 0.16187659 0.16170809 0.16184714 0.16147272],73.08562868617754,69.70974250261634,0.0,[-0.14513826  0.11427024 -0.16600643 -0.00431257  0.09893444],[0.16788264 0.16971838 0.16954237 0.16968776 0.16929384],3.371948322945143,4.544626264748481,0.0,[-0.15595455  0.11720528 -0.17869751 -0.00944549  0.12332682],[0.15385996 0.15554114 0.15538079 0.15551315 0.15515083],1355.11732543011,1334.2819844676867,0.0,[-0.06676392  0.15229513 -0.06819518  0.08174922 -0.24561997],[0.53588265 0.54176337 0.54118556 0.54166335 0.54042876],535.5067657512387,599.6392827658965,0.0,[-0.09255015  0.10991999 -0.10542094  0.02980484 -0.0497477 ],[0.28652963 0.2896707  0.28936455 0.28961772 0.28895423],11.986137312684145,12.058352853646758,0.0,[-0.12720095  0.09330537 -0.14713354 -0.00788702  0.10283726],[0.12373002 0.12508208 0.12495302 0.12505938 0.12476797],212.37683550407948,212.51782105783894,0.0,[-0.11557186  0.10077748 -0.13238738  0.00620449  0.04633184],[0.18604872 0.18808557 0.18788855 0.18805124 0.1876173 ],-0.018929085,0.18753828,1000,10000,0,1000
-0.019825159,0.88062286,1.0774372,0.10774372,3.1988533,3.4082198,-24.618822,22.182896,11.726701,65.77388,11.258816,24.420322,11.512985,65.761,13.328284,-2.7219918,0.3165627,-1.4554749,-6.129573,0.025503505,0.078496724,0.47554865,-0.023144089,-0.11981447,0.015087106,-0.08636826,-0.17596589,292.1375501390308,296.2089875448113,0.0,[-0.04437396  0.32213825  0.23651327  0.14081764 -0.09253877],[0.09994175 0.1026799  0.10125957 0.10018315 0.0999039 ],273.4576563815778,276.20685364169157,0.0,[-0.03449758  0.21050273  0.14550705  0.09021237 -0.05139979],[0.06554605 0.06734247 0.06641021 0.0657036  0.06552042],381.8257463930817,384.2988740716547,0.0,[-0.03763579  0.26882532  0.19548051  0.11882786 -0.07482446],[0.08361539 0.08590581 0.08471697 0.08381885 0.08358312],147.4072347409194,144.42800725461012,0.0,[-0.03638238  0.17066707  0.10700678  0.06842786 -0.03113023],[0.05316869 0.0546269  0.05387198 0.05329194 0.05314954],59.33493985151085,60.46027160053812,0.0,[-0.07845993  0.3274295   0.19889155  0.11968183 -0.05747056],[0.10042183 0.1031819  0.10176001 0.10063779 0.10039241],2.4980373103489106,2.2664754290767246,0.0,[-0.11034122  0.44631898  0.26702407  0.16062587 -0.07516532],[0.13637121 0.1401194  0.1381918  0.13665916 0.13633607],1791.49009670709,1796.4852298995395,0.0,[-0.07707132  0.81818014  0.64623624  0.38268185 -0.27725565],[0.25336334 0.2602998  0.25669947 0.25398922 0.25327033],575.5530492997493,577.017966674704,0.0,[-0.03790181  0.29676354  0.21949564  0.13436733 -0.08576362],[0.09228058 0.09480748 0.09349537 0.09250749 0.09224557],13.791736935255194,14.308895166618864,0.0,[-0.08015635  0.3109177   0.18149886  0.11125632 -0.04706261],[0.09528923 0.09790856 0.09656066 0.09549125 0.09526417],204.3253927191303,205.35924103290682,0.0,[-0.04037563  0.24714124  0.17305355  0.10357844 -0.06308078],[0.07674692 0.07885174 0.07776076 0.07692866 0.07671742],0.084063366,0.0774011,5000,50000,0,5000
0.09592281,0.5617453,9.528115,0.95281154,4.890741,1.5855557,-151.77933,149.80522,102.166695,437.91254,57.30579,152.24158,101.20669,430.1693,60.586296,-2.7116594,0.29849607,-1.4900159,-7.0562925,0.031935245,0.0768106,0.6458494,-0.025405224,-0.13342465,0.019267667,-0.10264017,-0.2652563,347.82329705558914,348.7080804742294,0.0,[ 0.00989116  0.0186442  -0.00853643 -0.00192986 -0.04541026],[0.05118967 0.05074108 0.05131194 0.05206804 0.05230352],271.8218559827115,266.536848884598,0.0,[-0.00754414  0.01088296 -0.01060772 -0.00156807  0.00140342],[0.014849   0.01476789 0.01494684 0.0150933  0.01523519],432.7249126036979,428.87396222879033,0.0,[-0.00094479  0.01268116 -0.01099028 -0.00250968 -0.01621542],[0.02829312 0.02806405 0.02838464 0.02877582 0.02893388],174.67896268264624,180.72411963926967,0.0,[-0.01023615  0.01128505 -0.00990923 -0.00014851  0.00827637],[0.01078108 0.01075555 0.01089651 0.0109471  0.01110531],92.13597645972949,88.68676094314807,0.0,[ 0.01680191  0.01369489 -0.02428842 -0.00231638 -0.07112732],[0.08301663 0.08217295 0.08308239 0.0844497  0.08469313],32.10504416371745,16.296888117423777,0.0,[ 0.02996217  0.02435272 -0.02556427  0.00362621 -0.11255511],[0.12617294 0.12493444 0.12633374 0.12832671 0.12877768],1714.9812258283507,1712.7314240400501,0.0,[ 0.0347815   0.04337535  0.01118295  0.00354818 -0.10842042],[0.09575687 0.09499074 0.0960678  0.09738503 0.09791673],914.0355147518158,978.9001953186282,0.0,[ 0.0048643   0.01970054 -0.00468595 -0.00071222 -0.03057278],[0.03790984 0.03763178 0.038066   0.03855044 0.03880006],13.827759076210173,15.943018627373174,0.0,[ 0.00726803  0.01699674 -0.0195447   0.00272645 -0.04659456],[0.06678279 0.06617165 0.06692859 0.06790669 0.06822192],207.73859713477916,209.3182125929769,0.0,[ 0.00188985  0.01408184 -0.01077056 -0.00220439 -0.02428753],[0.03517653 0.03487955 0.03527589 0.03577749 0.03595795],-0.004258158,0.03541348,10000,100000,0,10000
-0.009121383,0.5027196,21.581696,2.1581695,9.14969,4.3199143,-244.45323,241.47003,151.36575,840.3497,94.35296,243.26355,150.93715,840.6002,96.73999,-2.710762,0.34049353,-1.0015306,-6.125781,0.04376655,0.09361184,0.8548744,-0.10829151,-0.1298407,0.023510177,-0.090937726,-0.38701016,364.8776884406225,367.42652104717763,0.0,[ 0.00568538 -0.05677148 -0.03374173  0.03301013 -0.012779  ],[0.04622866 0.0441995  0.04552322 0.04679707 0.04707484],331.18974506550643,334.99543636142334,0.0,[-0.0134209  -0.0263248  -0.0160481   0.01463621 -0.00646216],[0.0212229  0.02038968 0.0209953  0.02152721 0.02173209],454.8673472618666,454.40540818752834,0.0,[ 0.0028284  -0.04219857 -0.03033066  0.02431152 -0.00370057],[0.03450337 0.03298075 0.03397235 0.03492452 0.03513336],166.45215360911251,171.81310643177812,0.0,[-0.00354045 -0.02203315 -0.02404324  0.0113239   0.00579742],[0.01853129 0.01771833 0.01825269 0.01876158 0.01888408],110.55345436189138,134.58733086927307,0.0,[ 0.0393395  -0.07824039 -0.06320356  0.04678863  0.00192043],[0.06472516 0.06164735 0.06351147 0.06541793 0.06564093],32.337762859985396,14.22595655211398,0.0,[ 0.11479382 -0.18754785 -0.13315177  0.11597695 -0.00971197],[0.15376906 0.14639606 0.15082094 0.15538353 0.15585206],1814.0171121087753,1813.4230242581286,0.0,[ 0.01962841 -0.13968956 -0.04997081  0.08587485 -0.06266989],[0.1113377  0.10653368 0.1097106  0.11273678 0.11344156],2080.976577296485,2154.583905882798,1.0,[ 0.00040621 -0.08175803 -0.03073135  0.04956975 -0.03609357],[0.06503876 0.06238378 0.06423654 0.06592378 0.06645691],9.743347827196926,10.479754986368606,0.0,[ 0.07277818 -0.12786268 -0.09453426  0.07811591 -0.00305737],[0.10501678 0.09999988 0.10302217 0.1061285  0.10646544],200.86132395537481,201.18660443485803,0.0,[ 0.00451408 -0.04210772 -0.03185328  0.02392134 -0.0023411 ],[0.03463358 0.03309021 0.03408485 0.03504996 0.03524727],-0.009573337,0.034421172,15000,150000,0,15000
-0.01707328,0.7206375,9.267709,0.92677087,11.271521,10.35739,-267.84927,267.55978,197.25427,1206.476,115.32847,270.15485,196.67897,1209.5938,118.63808,-2.7125845,0.3165727,-0.6375674,-5.8766737,0.034611076,0.08186737,0.8263613,-0.35712948,-0.12342531,0.021957368,-0.07555128,-0.41630816,362.876476227161,376.82141994881925,0.0,[-0.113531    0.05962955 -0.11990996 -0.09268522  0.13209724],[0.04663299 0.04778076 0.04661637 0.04818583 0.04671618],351.58969721495697,354.45302558267457,0.0,[-0.10662416  0.0621422  -0.11399961 -0.08863796  0.13396062],[0.02038391 0.02120047 0.02054169 0.02122623 0.02057061],517.986227422744,520.5667952904837,0.0,[-0.16241862  0.06992999 -0.17014709 -0.1230239   0.17524421],[0.03792241 0.03897639 0.03796701 0.03927116 0.03803072],211.98383806529094,205.4743081730215,0.0,[ 0.40259928 -0.03654094  0.36518613  0.23027432 -0.28055558],[0.00738521 0.00826234 0.0076984  0.00769172 0.00754335],345.89081024138227,316.07521058765326,0.0,[-0.18698286  0.06809867 -0.19566175 -0.13680062  0.18832734],[0.04717509 0.04819173 0.04707124 0.04871534 0.04715994],29.3549488324462,25.61938567900182,0.0,[-0.09072904  0.04978846 -0.09947154 -0.08338704  0.09150999],[0.11774175 0.11995471 0.11733281 0.12129217 0.11760869],1866.03255203632,2054.3186047709582,1.0,[-0.45559528  0.15381922 -0.474303   -0.32951492  0.44391808],[0.13536012 0.1380353  0.13492519 0.13964917 0.13515311],1953.1511833444536,2528.1812154808663,1.0,[-0.23900558  0.09240133 -0.24921156 -0.17697902  0.24660337],[0.05923479 0.06083413 0.05927838 0.06133893 0.05937773],7.973107916266506,7.628491433066686,0.0,[-0.01982003  0.03478551 -0.02898014 -0.03487693  0.03274895],[0.0884226  0.09009591 0.08813507 0.09104133 0.08836254],213.4153333027269,216.90573796445224,0.0,[-0.07398918  0.05063199 -0.08026813 -0.06620537  0.09978008],[0.03161291 0.0325291  0.03167711 0.03272371 0.03174625],-0.014010119,0.032057818,20000,200000,0,20000
-0.0024785332,0.58739054,14.932822,1.4932822,9.230797,3.4490786,-342.53867,340.9117,238.83008,1585.8665,131.10602,343.2482,238.2382,1597.8055,136.62167,-2.6956658,0.36808354,-0.034635484,-6.24692,0.046695776,0.10533457,0.8695313,-0.24143614,-0.13104282,0.02924297,-0.07767287,-0.6399178,405.0671049024729,411.46753256880305,0.0,[-1.1588491   0.07291833 -1.0570276  -1.089085    1.4174844 ],[0.01909423 0.02361847 0.02087001 0.02136741 0.01922226],427.2099060163143,438.2249935452289,0.0,[-0.5602917   0.04595606 -0.5143091  -0.52595305  0.67877823],[0.00659756 0.00860349 0.00735552 0.00761239 0.00670004],530.4012523945615,521.903780308606,0.0,[-0.9520849   0.06377114 -0.869375   -0.89456236  1.1619327 ],[0.01443883 0.01807752 0.01585064 0.01627314 0.01456589],359.07276513387075,358.54820478892947,0.0,[-0.07657648  0.01040461 -0.0987957  -0.08997643  0.10675279],[0.00408289 0.00541082 0.00453581 0.00481244 0.00420701],165.7092386969321,205.4298158894571,0.0,[-0.63111615  0.04137738 -0.573445   -0.58750254  0.76803267],[0.00935795 0.01168102 0.0102703  0.01052846 0.0094459 ],33.55628650570479,0.7022845421960111,0.0,[-0.3009861   0.00336202 -0.32186192 -0.26666057  0.39002112],[0.03466115 0.04102357 0.03741457 0.03782445 0.03472896],1687.5185553106423,1675.6294778318554,0.0,[-2.197942    0.13921858 -2.0038564  -2.0878868   2.698559  ],[0.04940476 0.05889664 0.05340523 0.05397666 0.04926606],708.2812412322113,606.675170446378,0.0,[-0.8175034   0.06058347 -0.7470967  -0.76826614  0.99439716],[0.01167753 0.01474493 0.01286424 0.01322038 0.01178914],9.560487087384416,10.371229032932545,0.0,[ 0.2477168  -0.02722328  0.13095377  0.24653673 -0.27987137],[0.03207985 0.03618803 0.03403889 0.03420058 0.03220167],202.1305768754454,197.1441456910137,0.0,[-0.77146775  0.05353826 -0.7049955  -0.7209128   0.9391378 ],[0.01066607 0.01347925 0.01174476 0.01209337 0.01078962],-0.24094002,0.011754616,25000,250000,0,25000
0.035592854,0.26655245,46.29562,4.629562,20.02434,5.649062,-462.2248,460.55646,347.98465,1978.6143,135.95439,462.36356,347.12152,1980.7712,141.95837,-2.644087,0.47543836,0.6423262,-4.9738684,0.07592357,0.16256888,0.9317464,-0.37558374,-0.13563973,0.03247324,-0.029161403,-0.70015556,412.91913464556956,406.1681902486688,0.0,[-0.42620686 -0.54171515 -0.21586719 -0.3606845   0.82733643],[0.0118418  0.01627489 0.01343385 0.01386887 0.01187204],585.5484631830903,583.4604502502702,0.0,[-0.32633474 -0.26111254 -0.20930098 -0.2852313   0.5432486 ],[0.00551539 0.00805763 0.00640373 0.00663709 0.00555385],567.4656669723458,576.6328403961013,0.0,[-0.3928571  -0.45811647 -0.21055235 -0.33430815  0.7381722 ],[0.00995246 0.01378285 0.01132289 0.01169559 0.00998404],267.36915876952605,259.36681724468167,1.0,[ 0.05845283 -0.13187385  0.07172076  0.05807492  0.00295802],[0.00271679 0.0037175  0.00306643 0.00321111 0.00274287],555.9604776537556,555.2372379008972,0.0,[-0.37421706 -0.42001954 -0.20418777 -0.3177916   0.691316  ],[0.00905413 0.01266669 0.01034411 0.01068543 0.00908747],40.782297389708276,42.13296969941876,0.0,[-0.08250756 -0.29925594  0.01050346 -0.03736119  0.25443542],[0.00674276 0.00938889 0.00772055 0.00795556 0.00678232],1926.319077302381,1843.3460769395479,0.0,[-0.74327105 -1.4129758  -0.25696304 -0.6136116   1.7159063 ],[0.0320284  0.04292418 0.03601786 0.03705621 0.03200176],1818.714155837354,1951.9055318956373,1.0,[-0.4800694  -0.61305535 -0.24825741 -0.41237816  0.92852056],[0.01326964 0.0186793  0.01518004 0.01570145 0.01330293],7.55797287023761,7.968963435791121,0.0,[ 1.277619  -0.694006   1.168683   1.258859  -1.1377347],[0.02453554 0.02732365 0.02632088 0.02620081 0.02439115],212.46400845674,211.4542154196678,0.0,[-0.31648132 -0.29999846 -0.18773876 -0.27220085  0.5552955 ],[0.00646831 0.00909428 0.00739922 0.00765351 0.00649727],-0.104224764,0.0074225194,30000,300000,0,30000
0.11221431,0.08040083,105.3734,10.53734,10.19755,3.2707415,-337.01114,334.61035,206.4348,2261.2314,140.5753,336.60037,205.81044,2256.1575,145.57153,-2.6736138,0.43169007,-0.71717495,-6.1396284,0.061225038,0.13532844,0.9208915,-0.40613258,-0.12781376,0.025986992,-0.014972866,-0.44586998,335.0237963639102,315.7282752800894,0.0,[-1.520327   -0.32564616 -1.1196026  -1.3080398   1.6819284 ],[0.02972545 0.03997653 0.03331265 0.03275969 0.02950532],505.57667577052865,503.19570349681544,0.0,[-0.5713662  -0.09475229 -0.4395657  -0.500794    0.6583113 ],[0.00774471 0.0112428  0.00893347 0.0088997  0.00781714],720.3913206990701,725.8533390999314,0.0,[-1.3329713  -0.30578426 -0.9830341  -1.1497754   1.4721038 ],[0.02751017 0.03683203 0.03078804 0.0302204  0.02725532],175.13866771171078,177.2715939381922,0.0,[ 0.29454243 -0.06257559  0.2348201   0.2591352  -0.32348076],[0.00175166 0.00205587 0.00192413 0.00203958 0.0018183 ],146.56871238460647,154.91967214670157,0.0,[-0.7858354  -0.14768787 -0.5825571  -0.67187434  0.88617307],[0.01267795 0.01744128 0.01432671 0.01415632 0.0126686 ],54.26210504474088,95.60777588758394,0.0,[-0.8513742 -0.3323446 -0.5932821 -0.7049826  0.9233181],[0.02608598 0.03438395 0.0290927  0.02856383 0.02589408],1729.431490540933,1764.6532167983519,0.0,[-2.7445552  -0.74428606 -2.0076962  -2.373719    2.9861798 ],[0.06743471 0.08805793 0.07482006 0.07297827 0.06628091],842.5559380600585,810.2206420397389,0.0,[-0.956954   -0.17713328 -0.7231364  -0.83231425  1.0676898 ],[0.0166137  0.02275425 0.01873161 0.01842899 0.01650088],10.442810030953007,10.311940637728211,0.0,[-0.14821915 -0.14249074 -0.10083064 -0.10289504  0.16059259],[0.0096254  0.01191085 0.01057826 0.01033343 0.00954871],214.66381676229045,213.57006903442692,0.0,[-0.9328391  -0.17612885 -0.6964702  -0.8035416   1.0439174 ],[0.01599484 0.02183114 0.01802066 0.01776841 0.01593097],-0.31301245,0.017909203,35000,350000,0,35000
-0.16511686,0.23812246,61.00274,6.100274,49.69722,20.127878,-590.7773,588.5424,491.03067,2826.1558,161.53088,588.9625,490.40192,2824.1287,160.62418,-2.5572557,0.6365207,0.2233144,-7.213542,0.11292228,0.22327097,1.1517687,-0.33188298,-0.14140882,0.057806455,-0.07048308,-0.9575086,234.00655344592488,230.6235195409664,0.0,[-1.4043074   0.20204389 -1.103744   -1.2441548   1.586576  ],[0.03141716 0.04307813 0.03505651 0.03455932 0.03100939],295.66398859393695,301.6078134059891,0.0,[-0.49125707  0.06384773 -0.4017604  -0.4412082   0.5798702 ],[0.00441158 0.00695128 0.00514155 0.00518045 0.00444151],364.63566386435014,365.58653898034623,0.0,[-1.0380867   0.14546199 -0.82148105 -0.91990304  1.1800665 ],[0.0194068  0.02704068 0.02175872 0.0214988  0.01919848],188.66235888362402,193.1812672536053,0.0,[ 0.14769113 -0.01237328  0.10858997  0.12446553 -0.13690265],[0.002127   0.0028933  0.0024995  0.00263243 0.00224908],170.81363207979348,196.46433769966825,0.0,[-0.8158812   0.10444938 -0.64116156 -0.7176555   0.9347014 ],[0.01484976 0.02086636 0.01670147 0.01654158 0.01473471],18.717249244099122,23.757903075226405,0.0,[ 0.22796614 -0.06546859  0.24210723  0.28510398 -0.2914513 ],[0.08662271 0.10505329 0.09356932 0.09060912 0.08439095],1048.8589052358986,1022.0197820417538,0.0,[-1.6111202   0.25297156 -1.288824   -1.4448984   1.816921  ],[0.03285706 0.04528682 0.03667648 0.03606423 0.03229721],485.91987825015207,477.8735198716141,0.0,[-0.737796    0.10935586 -0.60110235 -0.6627466   0.85182184],[0.00860857 0.01279842 0.00984424 0.00980429 0.00856955],7.883526267839521,7.466716268482837,0.0,[ 1.0942007  -0.1501604   0.83533436  1.0026708  -1.2176538 ],[0.06341012 0.07389028 0.067839   0.06509421 0.06135865],176.99905264833072,173.71186845473383,0.0,[-0.9720567   0.13651891 -0.7704307  -0.86209774  1.1082547 ],[0.01789999 0.02502674 0.02009825 0.01988362 0.01773363],-0.2719623,0.020128444,40000,400000,0,40000
0.08841356,0.2853009,54.18923,5.4189234,64.8456,30.232748,-503.87906,498.6916,414.89774,2923.5977,141.04285,503.49765,421.06018,2967.7644,142.54323,-2.7021813,0.384009,1.3575354,-5.912139,0.032222215,0.110849366,0.8681359,-1.4724243,-0.12902044,0.038665812,-0.029760256,-0.8450284,419.9975174404604,417.7524611385619,0.0,[-1.6158555   0.19237576 -1.2704896  -1.4306767   1.9113832 ],[0.03276134 0.04367317 0.03633532 0.03586229 0.03222396],593.9815167137012,574.4086233633315,0.0,[-0.59452206  0.06507983 -0.48515922 -0.5372971   0.71783906],[0.00747182 0.01160569 0.00863358 0.00863055 0.0075285 ],479.32720137208435,479.6017504154576,0.0,[-1.1073319  0.1228333 -0.8734486 -0.9792548  1.3144444],[0.01996431 0.02701627 0.02222454 0.02196474 0.01967623],421.84326124516525,442.6079065855121,0.0,[-0.18200889  0.00081652 -0.14881645 -0.17449704  0.25096026],[0.00434647 0.00613996 0.00499624 0.00516757 0.00446918],382.8975957877297,118.12590786799286,0.0,[-0.9969602   0.11715831 -0.7757425  -0.8751661   1.1896876 ],[0.02339441 0.03110663 0.0259439  0.02561753 0.02305527],48.77404245097427,160.09106529942304,0.0,[-0.69844925  0.09168343 -0.5287574  -0.5937972   0.8559178 ],[0.0316862  0.04099675 0.03493129 0.03441037 0.03118096],1806.1388809980429,1817.6820113322544,0.0,[-2.3943655   0.35715118 -1.9265802  -2.1759849   2.8365586 ],[0.05434905 0.07449599 0.06072912 0.05988189 0.05348961],2960.80648191627,2870.0292628007182,1.0,[-2.634535    0.39928415 -2.1197798  -2.3966265   3.1214128 ],[0.06122519 0.08382551 0.06835137 0.06743321 0.06025357],165.60136834675674,29.95643146081783,0.0,[-0.1210713  -0.00632109 -0.09947272 -0.10113514  0.16892913],[0.00295065 0.00438003 0.00341237 0.00350278 0.00304524],234.61946897508892,235.036311665592,0.0,[-1.0274912   0.11565674 -0.8104843  -0.90775824  1.2194569 ],[0.01890575 0.02552812 0.0210406  0.02080161 0.01864227],-0.28212398,0.02098367,45000,450000,0,45000
