Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,AverageReturn_task_0,AverageReturn_task_last_0,AverageSuccess_task_last_0,z_mean_task_0,z_var_task_last_0,AverageReturn_task_1,AverageReturn_task_last_1,AverageSuccess_task_last_1,z_mean_task_1,z_var_task_last_1,AverageReturn_task_2,AverageReturn_task_last_2,AverageSuccess_task_last_2,z_mean_task_2,z_var_task_last_2,AverageReturn_task_3,AverageReturn_task_last_3,AverageSuccess_task_last_3,z_mean_task_3,z_var_task_last_3,AverageReturn_task_4,AverageReturn_task_last_4,AverageSuccess_task_last_4,z_mean_task_4,z_var_task_last_4,AverageReturn_task_5,AverageReturn_task_last_5,AverageSuccess_task_last_5,z_mean_task_5,z_var_task_last_5,AverageReturn_task_6,AverageReturn_task_last_6,AverageSuccess_task_last_6,z_mean_task_6,z_var_task_last_6,AverageReturn_task_7,AverageReturn_task_last_7,AverageSuccess_task_last_7,z_mean_task_7,z_var_task_last_7,AverageReturn_task_8,AverageReturn_task_last_8,AverageSuccess_task_last_8,z_mean_task_8,z_var_task_last_8,AverageReturn_task_9,AverageReturn_task_last_9,AverageSuccess_task_last_9,z_mean_task_9,z_var_task_last_9,Z mean eval,Z variance eval,Number of train steps total,Number of env steps total,Number of rollouts total,Epoch
0.002806731,0.0013554189,224.20087,22.420088,19.066643,7.432837,-2.6910954,0.00030207657,0.00048157503,0.0015736697,-0.0008846658,0.00027646308,0.00010167502,0.00049467443,4.49114e-05,-2.67581,0.43849742,-1.0950899,-3.6733177,-2.7969878e-05,6.1564046e-05,0.00015522625,-0.00016441141,-7.5246803e-06,5.8966554e-05,0.000120601246,-0.00020978393,258.50370024188345,258.5037002418834,0.0,[ 0.09241609  0.1252636  -0.14640471 -0.27635953 -0.08569007],[0.2687618  0.26857436 0.26864848 0.2688007  0.26886508],4.940855416030794,8.12765382718498,0.0,[ 0.06215852  0.08131719 -0.09545191 -0.17950027 -0.05666292],[0.17525128 0.1751293  0.17517719 0.17527619 0.1753181 ],304.4925062420334,304.391181815634,0.0,[ 0.10066713  0.13653134 -0.1590031  -0.3012201  -0.09330282],[0.29263067 0.29242632 0.29250726 0.2926729  0.29274312],148.8804117329406,148.75493678990995,0.0,[ 0.07447793  0.10013551 -0.11611093 -0.2210122  -0.06870773],[0.21494909 0.21479915 0.21485813 0.21498008 0.21503122],96.59079467745772,96.50178150596044,0.0,[ 0.0673609   0.08925196 -0.10433984 -0.196254   -0.06022834],[0.19135346 0.19121994 0.1912722  0.191381   0.19142614],27.406552510375707,27.18803482506057,0.0,[ 0.05873985  0.07699534 -0.09010973 -0.16918734 -0.05195937],[0.16509159 0.16497657 0.16502135 0.16511527 0.16515405],1122.934940224376,1123.5727835455673,0.0,[ 0.19998874  0.2790334  -0.3230061  -0.6142439  -0.19015118],[0.5963568  0.5959389  0.5961057  0.59644383 0.5965868 ],554.9714105804821,555.0226948610912,0.0,[ 0.13249996  0.1825097  -0.21173622 -0.4020784  -0.12464567],[0.39062625 0.390353   0.3904616  0.390683   0.39077666],8.526713080039045,8.52620090788825,0.0,[ 0.05624642  0.07345609 -0.08617084 -0.1621698  -0.05025578],[0.1580643  0.15795438 0.1579974  0.15808697 0.15812452],206.50709131861922,206.50709131861925,0.0,[ 0.07976956  0.10723837 -0.1251872  -0.23669203 -0.07325286],[0.23025937 0.23009877 0.23016211 0.23029268 0.23034757],-0.04962483,0.23023209,1000,1000,0,1000
-0.03657208,0.99857426,0.41718808,0.041718807,0.078069136,0.2519713,-24.813053,22.23452,2.0233111,26.89115,17.739256,24.850586,2.0219526,29.67987,20.998957,-2.6739779,0.43851984,-1.0702016,-4.614435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.50370024188345,258.5037002418834,0.0,[-0.04293766 -0.01465425 -0.10343531 -0.01089561  0.02725887],[0.23838766 0.23630105 0.24058798 0.24149467 0.23957   ],4.222140740633799,1.541953546523392,0.0,[-0.02809011 -0.0104604  -0.0715996  -0.00683387  0.01833449],[0.1651423  0.16369712 0.16666643 0.16729414 0.16596106],304.0262816825984,303.6514805315327,0.0,[-0.04635091 -0.01570094 -0.11144534 -0.01205819  0.02938093],[0.2576058  0.25535068 0.25998342 0.2609631  0.2588831 ],148.8802315416455,148.62515586832455,0.0,[-0.03495295 -0.01212308 -0.08438137 -0.00894463  0.02242989],[0.1965618  0.19484136 0.19837582 0.19912356 0.19753633],96.75521784199759,96.48788312588545,0.0,[-0.03045338 -0.01078562 -0.07672597 -0.00762995  0.02107369],[0.1768242  0.17527646 0.17845578 0.17912863 0.17770068],27.34665528032717,27.623231084553055,0.0,[-0.0263404  -0.0095073  -0.0677292  -0.00661355  0.01864284],[0.15597987 0.15461475 0.15741904 0.15801255 0.15675303],1123.1697915148734,1122.9084101497638,0.0,[-0.0986516  -0.03060994 -0.22470798 -0.02443075  0.05910499],[0.5182905  0.513752   0.52307487 0.5250463  0.52086   ],555.2868251227268,554.9079977903866,0.0,[-0.0622793  -0.0203547  -0.14531188 -0.01579578  0.03816903],[0.3366712  0.33372355 0.33977872 0.34105945 0.33834046],8.526620228774298,8.5268176381588,0.0,[-0.02551965 -0.00943787 -0.06540224 -0.00653545  0.0175827 ],[0.15084016 0.14952026 0.15223227 0.15280585 0.15158828],206.50709131861922,206.50709131861925,0.0,[-0.03690305 -0.0128337  -0.08985223 -0.0094197   0.02395868],[0.20770822 0.20589018 0.20962521 0.21041532 0.20873818],-0.02501,0.20847543,5000,5000,0,5000
-0.018863615,0.9316332,0.14685944,0.014685944,0.7801528,1.4188325,-123.166595,121.29918,11.244164,157.76344,82.43629,124.19666,11.191717,160.42844,85.75009,-2.6717043,0.44932342,-1.1087723,-7.0538783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.50370024188345,258.5037002418834,0.0,[-0.01165904 -0.03589007  0.0096136  -0.0538173   0.02052605],[0.23571427 0.23507506 0.23542964 0.23454708 0.2341173 ],3.550791497984743,1.6519617663595179,0.0,[-0.00724777 -0.02657719  0.00708883 -0.03905858  0.0149143 ],[0.17318736 0.1727171  0.17297763 0.17232853 0.17201355],303.7593302713232,303.32581173987097,0.0,[-0.0129042  -0.03887405  0.0104991  -0.05848582  0.02221364],[0.25540194 0.2547098  0.25509384 0.25413775 0.2536715 ],148.79327030664967,149.03954897377812,0.0,[-0.00963403 -0.03060041  0.00902031 -0.04589184  0.01764984],[0.200604   0.20005961 0.2003613  0.19961016 0.19924448],96.74690946236541,96.86025541247001,0.0,[-0.00786381 -0.02768988  0.00747543 -0.04134487  0.01684913],[0.18247062 0.18197492 0.18224937 0.18156613 0.18123367],27.777515370902844,27.30812430719109,0.0,[-0.0067172  -0.02495597  0.00668174 -0.03729941  0.01535547],[0.16475311 0.16430527 0.16455306 0.16393597 0.16363615],1123.1427045882613,1122.8005356198516,0.0,[-0.03178534 -0.08219024  0.01919918 -0.12334712  0.04698446],[0.5406892  0.5392286  0.5400405  0.53801763 0.53702706],555.3420831145535,554.9849550777766,0.0,[-0.01889729 -0.05154487  0.01363368 -0.07754228  0.02946115],[0.33997637 0.3390562  0.3395673  0.33829495 0.33767322],8.526717937754292,8.526993115037868,0.0,[-0.00662948 -0.02454042  0.00660737 -0.03656022  0.01464146],[0.16075158 0.16031477 0.1605567  0.15995425 0.15966217],206.50709131861922,206.50709131861925,0.0,[-0.00991099 -0.03190861  0.00883052 -0.04777268  0.01852519],[0.20919716 0.20862953 0.2089442  0.2081609  0.20777957],-0.012447314,0.20854227,10000,10000,0,10000
-0.009741815,0.9751522,0.032096963,0.0032096964,1.6244414,0.75145435,-222.76385,220.56845,25.707407,302.89603,135.15839,223.32983,25.735312,305.41296,138.25769,-2.6802506,0.436993,-1.2898191,-5.808321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.50370024188345,258.5037002418834,0.0,[ 0.05182131  0.00312033 -0.03654313  0.02366351  0.01704331],[0.21591876 0.2127362  0.21558549 0.21634278 0.21511152],3.3736304117105074,3.373630411710507,0.0,[ 0.03990094  0.0024257  -0.02691381  0.01808385  0.01250587],[0.160991   0.15861663 0.16074146 0.16130564 0.16038851],304.3697172235765,304.36971722357646,0.0,[ 0.05628433  0.00340089 -0.04011022  0.02570362  0.01868854],[0.23623171 0.23275039 0.23586746 0.23669593 0.2353487 ],148.8602391554064,148.86023915540642,0.0,[ 0.0443974   0.00279096 -0.0302609   0.0200078   0.0146941 ],[0.18389086 0.18117946 0.18360628 0.18425134 0.18320288],96.84692474753247,96.84692474753247,0.0,[ 0.04167727  0.0026292  -0.02834619  0.01888181  0.01408449],[0.16901612 0.16652347 0.16875409 0.16934694 0.16838352],27.424753210796066,27.424753210796062,0.0,[ 0.03858997  0.002583   -0.0259786   0.01737621  0.01306355],[0.15506579 0.15277839 0.15482496 0.15536882 0.1544852 ],1122.8960510464503,1122.8960510464503,0.0,[ 0.11893981  0.00700052 -0.09293724  0.05540747  0.03984261],[0.5144463  0.50687295 0.51365715 0.51546234 0.51252514],555.1890531724949,555.1890531724949,0.0,[ 0.07487328  0.00438583 -0.05556313  0.03463202  0.02497732],[0.31936347 0.31465936 0.3188722  0.3199926  0.3181701 ],8.526761306541813,8.526761306541811,0.0,[ 0.0376315   0.00243543 -0.02524255  0.01673682  0.012479  ],[0.15142462 0.14919089 0.15118961 0.15172036 0.15085799],206.50709131861922,206.50709131861925,0.0,[ 0.04678069  0.00288776 -0.0324697   0.02121239  0.01554056],[0.19361681 0.19076236 0.1933175  0.1939966  0.19289269],0.0107903415,0.1929172,15000,15000,0,15000
0.009041483,0.91897345,0.16099754,0.016099755,3.3559527,0.48753482,-301.24634,298.7009,38.051044,416.7975,171.1035,301.20148,38.004547,419.49292,172.48686,-2.6854835,0.4434109,-1.2802039,-4.8409014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.50370024188345,258.5037002418834,0.0,[ 0.00894297 -0.02298536 -0.01966215  0.0592343   0.02436863],[0.20304674 0.20441923 0.20247631 0.21133012 0.20685135],3.3736304117105074,3.373630411710507,0.0,[ 0.0077667  -0.01694094 -0.0139406   0.04518372  0.01860437],[0.1531446  0.15417966 0.15271358 0.1593918  0.15601431],304.3697172235765,304.36971722357646,0.0,[ 0.00916999 -0.02506196 -0.02150334  0.06426238  0.02636287],[0.22040074 0.22189075 0.21978177 0.22939208 0.2245303 ],148.8602391554064,148.86023915540642,0.0,[ 0.00789023 -0.01968385 -0.01613624  0.05115031  0.02141804],[0.17471154 0.17589276 0.17422047 0.18183896 0.17798501],96.84692474753247,96.84692474753247,0.0,[ 0.00794124 -0.01795414 -0.01484395  0.0473975   0.01988906],[0.1605398  0.16162522 0.16008836 0.16708915 0.16354802],27.424753210796066,27.424753210796062,0.0,[ 0.00750144 -0.01632634 -0.01351947  0.04376136  0.01828399],[0.14780179 0.14880094 0.1473858  0.15383132 0.15057132],1122.8960510464503,1122.8960510464503,0.0,[ 0.01571073 -0.05186576 -0.04917119  0.12963237  0.05227674],[0.44745347 0.45047972 0.44619948 0.46570826 0.455835  ],555.1890531724949,555.1890531724949,0.0,[ 0.01100746 -0.03300331 -0.0295004   0.08357308  0.03394419],[0.28728688 0.28922936 0.28648084 0.29900706 0.29266885],8.526761306541813,8.526761306541811,0.0,[ 0.0074458  -0.01595244 -0.01316629  0.04286079  0.01783795],[0.14525831 0.14624007 0.14484942 0.15118392 0.14798048],206.50709131861922,206.50709131861925,0.0,[ 0.00834678 -0.02080911 -0.01751278  0.05390529  0.0224144 ],[0.18450518 0.18575239 0.18398656 0.19203211 0.1879623 ],0.009268915,0.1868477,20000,20000,0,20000
0.007874543,0.883289,0.3227238,0.03227238,6.545615,2.4844809,-363.62152,359.84506,48.979107,503.2922,177.11984,362.45154,48.94045,506.1942,178.36717,-2.6752956,0.44061503,-1.1737581,-4.6863213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.50370024188345,258.5037002418834,0.0,[ 0.00954209 -0.04231425 -0.04118038 -0.0170843   0.02915404],[0.19278474 0.19366258 0.19304457 0.19057138 0.19273768],3.3736304117105074,3.373630411710507,0.0,[ 0.00847095 -0.03381449 -0.03228331 -0.01324548  0.02394008],[0.15422808 0.15493044 0.15443552 0.15245573 0.1541905 ],304.3697172235765,304.36971722357646,0.0,[ 0.00982017 -0.04528458 -0.0442475  -0.01845411  0.03114346],[0.20630741 0.20724724 0.20658536 0.2039392  0.20625725],148.8602391554064,148.86023915540642,0.0,[ 0.0087156  -0.03733234 -0.03582107 -0.01489187  0.02622403],[0.17039648 0.17117253 0.17062578 0.16843897 0.17035502],96.84692474753247,96.84692474753247,0.0,[ 0.00862476 -0.03529316 -0.03383517 -0.01393204  0.02494094],[0.16105142 0.16178483 0.1612681  0.15920101 0.1610121 ],27.424753210796066,27.424753210796062,0.0,[ 0.00831221 -0.03304057 -0.03150365 -0.01291059  0.02351767],[0.15079477 0.15148148 0.15099762 0.14906175 0.15075797],1122.8960510464503,1122.8960510464503,0.0,[ 0.01569862 -0.08312467 -0.08445827 -0.03401337  0.05458447],[0.3742217  0.37592882 0.37472752 0.36993495 0.37412956],555.1890531724949,555.1890531724949,0.0,[ 0.01151298 -0.05619835 -0.05571795 -0.02298171  0.03785117],[0.2549122  0.25607392 0.2552561  0.25198835 0.25484982],8.526761306541813,8.526761306541811,0.0,[ 0.00819434 -0.03265117 -0.0311676  -0.01277102  0.02322355],[0.14924757 0.14992715 0.14944838 0.14753227 0.14921127],206.50709131861922,206.50709131861925,0.0,[ 0.00900574 -0.03897019 -0.03768342 -0.01563192  0.02716908],[0.17775849 0.17856783 0.17799784 0.17571701 0.17771503],-0.011222141,0.17755124,25000,25000,0,25000
-0.009054308,0.8714897,0.38469583,0.038469583,5.5898952,1.2393867,-411.70615,408.8252,59.92001,628.5978,189.31784,412.11362,59.984837,632.5709,192.03885,-2.6806812,0.43698388,-1.1003237,-4.64733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.50370024188345,258.5037002418834,0.0,[ 0.00207176 -0.02828548 -0.00155217  0.02241705 -0.0144224 ],[0.19480246 0.19554693 0.19615935 0.19906668 0.19342715],3.3736304117105074,3.373630411710507,0.0,[ 0.00255551 -0.02348863 -0.00087117  0.01900437 -0.01160686],[0.16266596 0.16328733 0.1637984  0.16622542 0.16151914],304.3697172235765,304.36971722357646,0.0,[ 0.00193417 -0.03007642 -0.00177708  0.02367068 -0.01537212],[0.20676029 0.20755066 0.20820066 0.21128671 0.2053002 ],148.8602391554064,148.86023915540642,0.0,[ 0.00217961 -0.02546566 -0.00094013  0.02043461 -0.012718  ],[0.17592019 0.17659251 0.17714515 0.1797702  0.17467876],96.84692474753247,96.84692474753247,0.0,[ 0.00235805 -0.02427766 -0.00089501  0.01952624 -0.01199001],[0.16785114 0.1684925  0.16901968 0.17152432 0.16666692],27.424753210796066,27.424753210796062,0.0,[ 0.00246899 -0.02305314 -0.00076139  0.01863243 -0.01129432],[0.15970077 0.16031101 0.16081245 0.16319525 0.15857446],1122.8960510464503,1122.8960510464503,0.0,[ 0.00119892 -0.0526058  -0.00644769  0.03987369 -0.02786376],[0.35457918 0.355936   0.3570522  0.36234882 0.3520685 ],555.1890531724949,555.1890531724949,0.0,[ 0.00166938 -0.03680018 -0.00306443  0.02850284 -0.0191651 ],[0.2507172  0.2516762  0.2524647  0.256208   0.24894437],8.526761306541813,8.526761306541811,0.0,[ 0.00245323 -0.02272515 -0.00073512  0.01842344 -0.01121043],[0.15778747 0.1583903  0.15888579 0.16123994 0.15667503],206.50709131861922,206.50709131861925,0.0,[ 0.0021312  -0.02617732 -0.00115143  0.02090605 -0.01316843],[0.18084545 0.18153644 0.1821048  0.18480359 0.17956911],-0.0034919872,0.18177187,30000,30000,0,30000
-0.0027108416,0.92007077,0.14469332,0.014469332,8.737335,3.1948702,-449.46118,446.94025,65.65669,677.29297,198.24338,450.51227,65.69298,681.6616,201.72829,-2.667543,0.43666753,-1.2070222,-4.703951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.50370024188345,258.5037002418834,0.0,[-0.02151565  0.0141579  -0.01073053 -0.01783024  0.02382526],[0.1716235  0.17497677 0.1731086  0.17580073 0.178156  ],3.3736304117105074,3.373630411710507,0.0,[-0.01788627  0.01224207 -0.00867317 -0.0149334   0.02070167],[0.14657462 0.14943807 0.1478417  0.15013774 0.15215486],304.3697172235765,304.36971722357646,0.0,[-0.02284479  0.01487165 -0.01142774 -0.01887106  0.02497578],[0.18059573 0.18412465 0.18215886 0.18499327 0.18746938],148.8602391554064,148.86023915540642,0.0,[-0.01971734  0.01318768 -0.00956135 -0.01635333  0.02220047],[0.15863134 0.16173093 0.16000344 0.16249095 0.1646698 ],96.84692474753247,96.84692474753247,0.0,[-0.01796271  0.01219212 -0.00857911 -0.014964    0.02073785],[0.14641626 0.1492769  0.14768225 0.14997672 0.15199016],27.424753210796066,27.424753210796062,0.0,[-0.01697664  0.01164898 -0.00803109 -0.01418545  0.01988386],[0.13949727 0.14222245 0.14070305 0.14288788 0.14480822],1122.8960510464503,1122.8960510464503,0.0,[-0.0394688   0.02414874 -0.02186359 -0.03239272  0.03994729],[0.2999459  0.3058093  0.30254686 0.30727127 0.31135646],555.1890531724949,555.1890531724949,0.0,[-0.0282042   0.01786589 -0.01475236 -0.02323467  0.02974586],[0.2192758  0.22356105 0.22117522 0.22462142 0.22761983],8.526761306541813,8.526761306541811,0.0,[-0.01711838  0.01173853 -0.00813678 -0.01425888  0.01991996],[0.14033546 0.14307673 0.14154835 0.14374568 0.14567849],206.50709131861922,206.50709131861925,0.0,[-0.02001937  0.01332759 -0.00980109 -0.01661167  0.02251806],[0.16088396 0.16402726 0.16227566 0.16479823 0.16700807],-0.002117296,0.16379865,35000,35000,0,35000
-0.0015527515,0.83353233,0.6366462,0.06366462,8.380266,1.2018636,-471.255,467.9137,75.46743,713.2798,176.0017,470.86725,75.449265,715.96265,178.48363,-2.689371,0.43453762,-1.330209,-4.6001544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.50370024188345,258.5037002418834,0.0,[ 0.0173084  -0.01379906 -0.00291993  0.00161958  0.01997086],[0.16017126 0.15714756 0.1583953  0.15903546 0.15816408],3.3736304117105074,3.373630411710507,0.0,[ 0.01621766 -0.01259327 -0.00245871  0.00173447  0.01859245],[0.1474955  0.14471002 0.14586155 0.14644732 0.1456503 ],304.3697172235765,304.36971722357646,0.0,[ 0.01743576 -0.01401158 -0.00296258  0.00159441  0.0202645 ],[0.16244707 0.15937987 0.16064645 0.1612947  0.1604125 ],148.8602391554064,148.86023915540642,0.0,[ 0.01677584 -0.0132862  -0.00264606  0.00165578  0.01938319],[0.15457381 0.15165503 0.15286082 0.15347646 0.15263863],96.84692474753247,96.84692474753247,0.0,[ 0.01597832 -0.01246493 -0.00228642  0.0016763   0.01839356],[0.14530249 0.14255933 0.14369144 0.14427108 0.1434821 ],27.424753210796066,27.424753210796062,0.0,[ 0.0157846  -0.01223751 -0.00223037  0.00167513  0.01813196],[0.14297144 0.14027224 0.14138623 0.14195628 0.14118043],1122.8960510464503,1122.8960510464503,0.0,[ 0.02263071 -0.01939886 -0.00547906  0.00150219  0.02682013],[0.2210979  0.21691917 0.21865103 0.21952893 0.21833435],555.1890531724949,555.1890531724949,0.0,[ 0.01927378 -0.01586192 -0.00379377  0.00153728  0.02247096],[0.1826869  0.1792365  0.18066296 0.1813911  0.18040016],8.526761306541813,8.526761306541811,0.0,[ 0.0161253  -0.01256842 -0.00242793  0.00169737  0.01849985],[0.14679544 0.14402404 0.14516805 0.1457533  0.14495675],206.50709131861922,206.50709131861925,0.0,[ 0.01677863 -0.01327587 -0.00267303  0.0016465   0.01937853],[0.15446587 0.15154964 0.15275356 0.15336987 0.15253101],0.004370953,0.15293398,40000,40000,0,40000
0.004265872,0.8489405,0.5152215,0.051522147,10.158788,1.585695,-487.07498,485.24683,82.45532,740.8728,188.38077,487.74747,82.468376,744.1651,189.99203,-2.692051,0.4341725,-1.1785574,-4.466755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.50370024188345,258.5037002418834,0.0,[-0.03452899  0.0388355   0.02983921  0.07481416  0.02312819],[0.14786065 0.1482583  0.14899118 0.14851068 0.14600287],3.3736304117105074,3.373630411710507,0.0,[-0.03353499  0.03779062  0.02914044  0.07288885  0.02259072],[0.1437514  0.14413714 0.14485382 0.14438143 0.14194979],304.3697172235765,304.36971722357646,0.0,[-0.03455438  0.03877885  0.02984222  0.07477068  0.02317026],[0.14768116 0.14807747 0.14881301 0.1483289  0.14582945],148.8602391554064,148.86023915540642,0.0,[-0.03403979  0.03828597  0.02950762  0.07381586  0.02287224],[0.14573151 0.14612257 0.14684847 0.14637056 0.14390425],96.84692474753247,96.84692474753247,0.0,[-0.03299393  0.03725868  0.02881093  0.07185208  0.02231928],[0.14174417 0.14212489 0.14282969 0.142366   0.1399657 ],27.424753210796066,27.424753210796062,0.0,[-0.03280352  0.03706209  0.02866924  0.07147338  0.02221066],[0.14097048 0.14134914 0.14205024 0.1415888  0.13920191],1122.8960510464503,1122.8960510464503,0.0,[-0.03737089  0.04131817  0.03156856  0.07997154  0.02494933],[0.15818809 0.15861039 0.15940295 0.1588805  0.1562081 ],555.1890531724949,555.1890531724949,0.0,[-0.03569959  0.03989281  0.03062023  0.0769172   0.02384084],[0.15211658 0.15252429 0.15328284 0.15278357 0.15020977],8.526761306541813,8.526761306541811,0.0,[-0.03380604  0.03806818  0.02931799  0.07341103  0.02272867],[0.14482726 0.14521593 0.1459379  0.14546213 0.14301212],206.50709131861922,206.50709131861925,0.0,[-0.03413099  0.03841355  0.02956406  0.07403077  0.02292939],[0.14622311 0.14661603 0.14734226 0.14686525 0.14438751],0.026161358,0.14628682,45000,45000,0,45000
